,Date,Time,Temperature (K),Wind_speed (m/s),Pressure (Pa),Roughness_length (m)
39,2018-01-02,16:00:00,261.65,4.000369999999999,100588.0,0.15
40,2018-01-02,17:00:00,261.41,4.22926,100623.0,0.15
41,2018-01-02,18:00:00,261.87,5.286969999999999,100659.0,0.15
42,2018-01-02,19:00:00,262.06,4.81407,100681.0,0.15
43,2018-01-02,20:00:00,262.08,5.153169999999999,100680.0,0.15
44,2018-01-02,21:00:00,262.07,5.27922,100665.0,0.15
45,2018-01-02,22:00:00,263.0,5.9686900000000005,100666.0,0.15
46,2018-01-02,23:00:00,263.84,5.11343,100671.0,0.15
47,2018-01-02,00:00:00,264.64,5.38159,100673.0,0.15
48,2018-01-03,01:00:00,265.33,5.38818,100667.0,0.15
49,2018-01-03,02:00:00,265.99,5.49373,100665.0,0.15
50,2018-01-03,03:00:00,266.38,5.34149,100680.0,0.15
51,2018-01-03,04:00:00,266.65,5.05612,100679.0,0.15
52,2018-01-03,05:00:00,266.87,4.96815,100674.0,0.15
53,2018-01-03,06:00:00,267.02,4.45363,100665.0,0.15
54,2018-01-03,07:00:00,267.22,4.76063,100661.0,0.15
55,2018-01-03,08:00:00,267.34,5.01815,100659.0,0.15
56,2018-01-03,09:00:00,267.48,4.82792,100658.0,0.15
57,2018-01-03,10:00:00,268.01,5.06804,100660.0,0.15
58,2018-01-03,11:00:00,268.41,5.74156,100694.0,0.15
59,2018-01-03,12:00:00,268.51,5.8803,100735.0,0.15
60,2018-01-03,13:00:00,268.38,6.56013,100768.0,0.15
61,2018-01-03,14:00:00,268.18,5.42,100796.0,0.15
62,2018-01-03,15:00:00,267.71,5.39225,100837.0,0.15
63,2018-01-03,16:00:00,266.32,5.01119,100866.0,0.15
64,2018-01-03,17:00:00,264.76,4.389880000000001,100887.0,0.15
65,2018-01-03,18:00:00,263.63,5.16444,100918.0,0.15
66,2018-01-03,19:00:00,262.68,5.20325,100952.0,0.15
67,2018-01-03,20:00:00,261.97,4.32235,100985.0,0.15
68,2018-01-03,21:00:00,261.25,4.7634099999999995,100994.0,0.15
69,2018-01-03,22:00:00,260.83,4.09454,101000.0,0.15
70,2018-01-03,23:00:00,260.44,3.7190800000000004,101008.0,0.15
71,2018-01-03,00:00:00,260.13,4.38863,101029.0,0.15
72,2018-01-04,01:00:00,259.84,3.8553,101045.0,0.15
73,2018-01-04,02:00:00,259.57,4.00899,101052.0,0.15
74,2018-01-04,03:00:00,259.37,3.5104300000000004,101037.0,0.15
75,2018-01-04,04:00:00,259.28,3.7434199999999995,100998.0,0.15
76,2018-01-04,05:00:00,259.13,3.55461,100954.0,0.15
77,2018-01-04,06:00:00,259.06,3.23526,100920.0,0.15
78,2018-01-04,07:00:00,258.97,3.7057059999999997,100881.0,0.15
79,2018-01-04,08:00:00,258.52,3.3918589999999997,100838.0,0.15
80,2018-01-04,09:00:00,258.46,3.2962279999999997,100787.0,0.15
81,2018-01-04,10:00:00,258.84,2.955409,100757.0,0.15
82,2018-01-04,11:00:00,259.57,3.622847,100724.0,0.15
83,2018-01-04,12:00:00,260.28,3.7032730000000003,100683.0,0.15
84,2018-01-04,13:00:00,260.81,3.0107060000000003,100647.0,0.15
85,2018-01-04,14:00:00,260.97,2.901911,100616.0,0.15
86,2018-01-04,15:00:00,260.72,3.415802,100589.0,0.15
87,2018-01-04,16:00:00,260.21,2.835682,100554.0,0.15
88,2018-01-04,17:00:00,259.71,3.782206,100512.0,0.15
89,2018-01-04,18:00:00,259.41,2.945188,100467.0,0.15
90,2018-01-04,19:00:00,259.29,2.733484,100431.0,0.15
91,2018-01-04,20:00:00,259.2,3.2976449999999997,100399.0,0.15
92,2018-01-04,21:00:00,259.19,2.860887,100364.0,0.15
93,2018-01-04,22:00:00,259.12,2.519493,100326.0,0.15
94,2018-01-04,23:00:00,259.13,3.5644690000000003,100291.0,0.15
95,2018-01-04,00:00:00,259.18,3.8961300000000003,100256.0,0.15
96,2018-01-05,01:00:00,259.3,4.44263,100220.0,0.15
97,2018-01-05,02:00:00,259.49,4.22889,100181.0,0.15
98,2018-01-05,03:00:00,260.12,4.16231,100140.0,0.15
99,2018-01-05,04:00:00,259.86,3.99019,100091.0,0.15
100,2018-01-05,05:00:00,259.69,4.20271,100042.0,0.15
101,2018-01-05,06:00:00,259.51,3.9173400000000003,99998.2,0.15
102,2018-01-05,07:00:00,259.38,3.421272,99948.1,0.15
103,2018-01-05,08:00:00,259.13,3.31976,99886.7,0.15
104,2018-01-05,09:00:00,258.83,3.5829800000000005,99818.8,0.15
105,2018-01-05,10:00:00,259.28,4.11233,99756.1,0.15
106,2018-01-05,11:00:00,259.86,4.339090000000001,99696.6,0.15
107,2018-01-05,12:00:00,260.45,4.04126,99642.5,0.15
108,2018-01-05,13:00:00,260.89,3.9423800000000004,99582.7,0.15
109,2018-01-05,14:00:00,261.09,3.5188900000000003,99521.3,0.15
110,2018-01-05,15:00:00,260.76,4.39001,99471.2,0.15
111,2018-01-05,16:00:00,260.18,3.79222,99432.7,0.15
112,2018-01-05,17:00:00,259.58,4.35032,99403.5,0.15
113,2018-01-05,18:00:00,259.18,4.82863,99363.6,0.15
114,2018-01-05,19:00:00,258.89,3.8618,99323.1,0.15
115,2018-01-05,20:00:00,258.74,4.45202,99287.1,0.15
116,2018-01-05,21:00:00,258.63,4.00284,99238.3,0.15
117,2018-01-05,22:00:00,258.54,4.41528,99190.8,0.15
118,2018-01-05,23:00:00,258.53,4.22158,99160.1,0.15
119,2018-01-05,00:00:00,258.58,3.62291,99141.2,0.15
120,2018-01-06,01:00:00,258.81,3.45376,99130.9,0.15
121,2018-01-06,02:00:00,259.15,3.4697400000000003,99127.4,0.15
122,2018-01-06,03:00:00,260.33,3.69662,99128.5,0.15
123,2018-01-06,04:00:00,260.22,4.3288199999999994,99105.7,0.15
124,2018-01-06,05:00:00,260.38,3.8897699999999995,99078.1,0.15
125,2018-01-06,06:00:00,260.66,3.5166800000000005,99053.5,0.15
126,2018-01-06,07:00:00,260.87,3.69679,99026.5,0.15
127,2018-01-06,08:00:00,261.11,3.4855,99013.7,0.15
128,2018-01-06,09:00:00,261.4,4.07923,99011.7,0.15
129,2018-01-06,10:00:00,262.23,4.61701,99009.9,0.15
130,2018-01-06,11:00:00,263.15,4.5022199999999994,99006.6,0.15
131,2018-01-06,12:00:00,264.2,4.30356,99010.4,0.15
132,2018-01-06,13:00:00,264.79,4.62786,99021.0,0.15
133,2018-01-06,14:00:00,265.36,4.83025,99024.8,0.15
134,2018-01-06,15:00:00,265.54,4.3379,99031.5,0.15
135,2018-01-06,16:00:00,265.25,4.367430000000001,99059.4,0.15
136,2018-01-06,17:00:00,264.82,3.98535,99097.8,0.15
137,2018-01-06,18:00:00,264.69,3.83984,99133.4,0.15
138,2018-01-06,19:00:00,264.49,4.031000000000001,99161.0,0.15
139,2018-01-06,20:00:00,264.31,4.78418,99187.2,0.15
140,2018-01-06,21:00:00,264.03,4.21012,99211.3,0.15
141,2018-01-06,22:00:00,263.83,3.9789199999999996,99242.4,0.15
142,2018-01-06,23:00:00,263.8,3.9937300000000002,99275.1,0.15
143,2018-01-06,00:00:00,263.37,5.01994,99323.4,0.15
144,2018-01-07,01:00:00,263.1,4.17784,99375.6,0.15
145,2018-01-07,02:00:00,262.94,4.1878400000000005,99430.9,0.15
146,2018-01-07,03:00:00,262.75,4.91643,99490.4,0.15
147,2018-01-07,04:00:00,262.97,4.69974,99552.1,0.15
148,2018-01-07,05:00:00,262.98,4.26034,99597.5,0.15
149,2018-01-07,06:00:00,262.94,5.01834,99622.7,0.15
150,2018-01-07,07:00:00,262.6,5.2739,99639.7,0.15
151,2018-01-07,08:00:00,262.34,4.74636,99656.9,0.15
152,2018-01-07,09:00:00,262.04,5.60055,99683.7,0.15
153,2018-01-07,10:00:00,262.06,5.038,99716.4,0.15
154,2018-01-07,11:00:00,261.99,5.87715,99754.7,0.15
155,2018-01-07,12:00:00,262.21,5.3185199999999995,99811.4,0.15
156,2018-01-07,13:00:00,262.5,5.69681,99872.0,0.15
157,2018-01-07,14:00:00,262.84,5.67846,99938.9,0.15
158,2018-01-07,15:00:00,262.7,5.60454,100028.0,0.15
159,2018-01-07,16:00:00,262.25,6.1611,100104.0,0.15
160,2018-01-07,17:00:00,262.33,5.39902,100162.0,0.15
161,2018-01-07,18:00:00,262.52,6.18863,100217.0,0.15
162,2018-01-07,19:00:00,262.83,5.78378,100274.0,0.15
163,2018-01-07,20:00:00,263.07,6.39297,100330.0,0.15
164,2018-01-07,21:00:00,263.78,6.28191,100380.0,0.15
